,hour(lpep_pickup_datetime),total
0,0,584801.5599998536
1,1,430826.1199999328
2,2,290262.6500000071
3,3,205058.39000001794
4,4,196258.56000001513
5,5,172277.02000001012
6,6,236959.9300000167
7,7,410747.39999995474
8,8,596156.1899998649
9,9,613016.129999849
10,10,589144.3199998566
11,11,595286.3999998472
12,12,620672.1999998285
13,13,605602.3099998344
14,14,706409.8299997763
15,15,809970.6599997182
16,16,910238.799999682
17,17,971958.8799996476
18,18,997679.3199996257
19,19,879131.4399996805
20,20,621155.1599998194
21,21,687351.7199998016
22,22,726934.6999997932
23,23,708933.6999998009
